quiz_title,description,difficulty,is_published,question_text,question_explanation,choice_text,is_correct,choice_explanation
"Quiz Diagnostic Gaz Avancé","Quiz approfondi sur le diagnostic gaz",expert,true,"Combien de points de contrôle sont vérifiés lors du diagnostic gaz ?","Le diagnostic gaz est très complet","40 points",false,"Non, c'est encore plus détaillé"
"Quiz Diagnostic Gaz Avancé","Quiz approfondi sur le diagnostic gaz",expert,true,"Combien de points de contrôle sont vérifiés lors du diagnostic gaz ?","Le diagnostic gaz est très complet","10 points",false,"Non, le diagnostic est très complet, plus de 70 points"
"Quiz Diagnostic Gaz Avancé","Quiz approfondi sur le diagnostic gaz",expert,true,"Que vérifie le test d'étanchéité de l'installation gaz ?","Le test d'étanchéité est crucial pour la sécurité","La pression du gaz dans les tuyaux",true,"Exact ! On met l'installation sous pression pour détecter les fuites"
"Quiz Diagnostic Gaz Avancé","Quiz approfondi sur le diagnostic gaz",expert,true,"Que vérifie le test d'étanchéité de l'installation gaz ?","Le test d'étanchéité est crucial pour la sécurité","La température du gaz",false,"Non, ce n'est pas lié à la température"
"Quiz Diagnostic Gaz Avancé","Quiz approfondi sur le diagnostic gaz",expert,true,"Que vérifie le test d'étanchéité de l'installation gaz ?","Le test d'étanchéité est crucial pour la sécurité","La qualité du gaz",false,"Non, ce n'est pas l'objet du test d'étanchéité"
"Quiz Diagnostic Gaz Avancé","Quiz approfondi sur le diagnostic gaz",expert,true,"Que vérifie le test d'étanchéité de l'installation gaz ?","Le test d'étanchéité est crucial pour la sécurité","Le compteur de gaz",false,"Non, le test vérifie l'étanchéité des canalisations"
"Quiz Diagnostic Gaz Avancé","Quiz approfondi sur le diagnostic gaz",expert,true,"Quel appareil permet de détecter le monoxyde de carbone ?","La détection du CO est essentielle pour la sécurité","Un analyseur de combustion",true,"Exact ! L'analyseur mesure le CO, le CO2 et l'O2 dans les fumées"
"Quiz Diagnostic Gaz Avancé","Quiz approfondi sur le diagnostic gaz",expert,true,"Quel appareil permet de détecter le monoxyde de carbone ?","La détection du CO est essentielle pour la sécurité","Un thermomètre",false,"Non, le thermomètre mesure la température, pas le CO"
"Quiz Diagnostic Gaz Avancé","Quiz approfondi sur le diagnostic gaz",expert,true,"Quel appareil permet de détecter le monoxyde de carbone ?","La détection du CO est essentielle pour la sécurité","Un manomètre",false,"Non, le manomètre mesure la pression, pas le CO"
"Quiz Diagnostic Gaz Avancé","Quiz approfondi sur le diagnostic gaz",expert,true,"Quel appareil permet de détecter le monoxyde de carbone ?","La détection du CO est essentielle pour la sécurité","Un compteur",false,"Non, le compteur mesure la consommation, pas le CO"
"Quiz Amiante Expert","Quiz expert sur les types d'amiante",expert,true,"Quels sont les deux groupes principaux de fibres d'amiante ?","L'amiante se divise en deux familles minéralogiques","Serpentines et Amphiboles",true,"Exact ! Les serpentines (chrysotile) et les amphiboles (5 types)"
"Quiz Amiante Expert","Quiz expert sur les types d'amiante",expert,true,"Quels sont les deux groupes principaux de fibres d'amiante ?","L'amiante se divise en deux familles minéralogiques","Blanches et Bleues",false,"Non, ce sont des couleurs, pas les groupes minéralogiques"
"Quiz Amiante Expert","Quiz expert sur les types d'amiante",expert,true,"Quels sont les deux groupes principaux de fibres d'amiante ?","L'amiante se divide en deux familles minéralogiques","Friables et non-friables",false,"Non, c'est une classification par état, pas par type"
"Quiz Amiante Expert","Quiz expert sur les types d'amiante",expert,true,"Quels sont les deux groupes principaux de fibres d'amiante ?","L'amiante se divise en deux familles minéralogiques","Naturelles et synthétiques",false,"Non, l'amiante est toujours naturelle"
"Quiz Amiante Expert","Quiz expert sur les types d'amiante",expert,true,"Quel type d'amiante est le plus dangereux ?","Tous les types d'amiante sont dangereux mais à des degrés différents","L'amiante bleue (crocidolite)",true,"Exact ! La crocidolite (bleue) est considérée comme la plus dangereuse"
"Quiz Amiante Expert","Quiz expert sur les types d'amiante",expert,true,"Quel type d'amiante est le plus dangereux ?","Tous les types d'amiante sont dangereux mais à des degrés différents","L'amiante blanche (chrysotile)",false,"Non, la bleue est plus dangereuse que la blanche"
"Quiz Amiante Expert","Quiz expert sur les types d'amiante",expert,true,"Quel type d'amiante est le plus dangereux ?","Tous les types d'amiante sont dangereux mais à des degrés différents","L'amiante brune (amosite)",false,"Non, la bleue est encore plus dangereuse"
"Quiz Amiante Expert","Quiz expert sur les types d'amiante",expert,true,"Quel type d'amiante est le plus dangereux ?","Tous les types d'amiante sont dangereux mais à des degrés différents","Tous sont aussi dangereux",false,"Non, la crocidolite est considérée comme la plus dangereuse"
"Quiz Amiante Expert","Quiz expert sur les types d'amiante",expert,true,"Que signifie META dans le contexte amiante ?","META est un acronyme important dans le diagnostic amiante","Matériaux et Produits Susceptibles de Contenir de l'Amiante",false,"Non, ce n'est pas l'acronyme MPCA"
"Quiz Amiante Expert","Quiz expert sur les types d'amiante",expert,true,"Que signifie META dans le contexte amiante ?","META est un acronyme important dans le diagnostic amiante","Mission d'Évaluation des Travaux Amiante",false,"Non, ce n'est pas lié aux travaux"
"Quiz Amiante Expert","Quiz expert sur les types d'amiante",expert,true,"Que signifie META dans le contexte amiante ?","META est un acronyme important dans le diagnostic amiante","Mesure d'Empoussièrement Temporaire en Amiante",true,"Exact ! META = surveillance de l'empoussièrement lors de travaux"
"Quiz Amiante Expert","Quiz expert sur les types d'amiante",expert,true,"Que signifie META dans le contexte amiante ?","META est un acronyme important dans le diagnostic amiante","Méthode d'Examen Technique de l'Amiante",false,"Non, META concerne l'empoussièrement"
"Quiz DPE Collectif","Quiz sur le DPE en copropriété",specialiste,true,"Qu'est-ce qu'un DPE collectif ?","Le DPE collectif est spécifique aux copropriétés","Un DPE réalisé pour l'ensemble d'un immeuble",true,"Exact ! Il évalue les parties communes et l'enveloppe du bâtiment"
"Quiz DPE Collectif","Quiz sur le DPE en copropriété",specialiste,true,"Qu'est-ce qu'un DPE collectif ?","Le DPE collectif est spécifique aux copropriétés","Un DPE réalisé par plusieurs diagnostiqueurs",false,"Non, c'est un DPE pour un immeuble collectif"
"Quiz DPE Collectif","Quiz sur le DPE en copropriété",specialiste,true,"Qu'est-ce qu'un DPE collectif ?","Le DPE collectif est spécifique aux copropriétés","Un DPE pour plusieurs appartements en même temps",false,"Non, c'est pour évaluer l'immeuble dans son ensemble"
"Quiz DPE Collectif","Quiz sur le DPE en copropriété",specialiste,true,"Qu'est-ce qu'un DPE collectif ?","Le DPE collectif est spécifique aux copropriétés","Un DPE obligatoire pour tous",false,"Non, il est spécifique aux copropriétés"
"Quiz DPE Collectif","Quiz sur le DPE en copropriété",specialiste,true,"Depuis quelle année le DPE collectif est-il obligatoire pour les copropriétés de plus de 200 lots ?","Le DPE collectif est obligatoire progressivement","2024",true,"Exact ! Obligatoire depuis le 1er janvier 2024 pour > 200 lots"
"Quiz DPE Collectif","Quiz sur le DPE en copropriété",specialiste,true,"Depuis quelle année le DPE collectif est-il obligatoire pour les copropriétés de plus de 200 lots ?","Le DPE collectif est obligatoire progressivement","2021",false,"Non, c'est plus récent"
"Quiz DPE Collectif","Quiz sur le DPE en copropriété",specialiste,true,"Depuis quelle année le DPE collectif est-il obligatoire pour les copropriétés de plus de 200 lots ?","Le DPE collectif est obligatoire progressivement","2025",false,"Non, c'était avant"
"Quiz DPE Collectif","Quiz sur le DPE en copropriété",specialiste,true,"Depuis quelle année le DPE collectif est-il obligatoire pour les copropriétés de plus de 200 lots ?","Le DPE collectif est obligatoire progressivement","2023",false,"Non, c'est en 2024"
"Quiz DPE Collectif","Quiz sur le DPE en copropriété",specialiste,true,"Qu'évalue principalement un DPE collectif ?","Le DPE collectif se concentre sur certains éléments","Les parties communes et l'enveloppe du bâtiment",true,"Exact ! Il évalue l'isolation, le chauffage collectif, etc."
"Quiz DPE Collectif","Quiz sur le DPE en copropriété",specialiste,true,"Qu'évalue principalement un DPE collectif ?","Le DPE collectif se concentre sur certains éléments","Chaque appartement individuellement",false,"Non, c'est pour les parties communes"
"Quiz DPE Collectif","Quiz sur le DPE en copropriété",specialiste,true,"Qu'évalue principalement un DPE collectif ?","Le DPE collectif se concentre sur certains éléments","Seulement le chauffage",false,"Non, c'est plus complet (enveloppe, isolation, etc.)"
"Quiz DPE Collectif","Quiz sur le DPE en copropriété",specialiste,true,"Qu'évalue principalement un DPE collectif ?","Le DPE collectif se concentre sur certains éléments","Les équipements privatifs",false,"Non, il concerne les parties communes"

